,count,mean,std,min,25%,50%,75%,max
sp500 close,3849.0,270.96552048151034,120.71049325975167,102.2,178.01,243.29,377.09,584.59
nasdaq close,3849.0,183.2913311855893,122.18133652302535,42.47,83.96,141.34,286.51,502.96
us_rates_%,3849.0,1.2198402778543274,1.7027551575406745,0.05,0.09258064516129032,0.19,1.8119354838709678,5.33
CPI,3849.0,254.20616244164424,27.595458203232063,217.199,234.51266666666666,244.54622580645162,264.96941935483875,314.686
usd_chf,3849.0,0.9456687407984758,0.05054936672972765,0.7296,0.9116,0.9456,0.9815,1.1614
eur_usd,3849.0,1.1884540309171214,0.11191397711256208,0.9616,1.0991,1.1552,1.29,1.4875
GDP,3849.0,20638.94106003815,4159.753714851558,14980.193,17195.18931521739,19730.03989130435,23131.505,29016.714
silver close,3849.0,21.497461041829048,6.2593304527065445,11.64,16.49,19.86,24.66,48.2
oil close,3849.0,34.59517337403654,22.027566183946337,2.13,12.89,33.77,42.5,91.99
platinum close,3849.0,110.8171915367628,31.7053023259774,55.36,86.89,95.12,140.33,189.11
palladium close,3849.0,109.99047139083744,57.5621297617541,41.86,69.5,84.25,144.252,295.0
gold close,3849.0,145.95911338442886,29.458565111340544,100.5,120.84,138.56,168.09,253.93
gold_lag1,3849.0,145.9222414696458,29.416005498537828,100.5,120.84,138.54,168.08,253.93
